id,name,state,grade,score,size_tier,national_percentile,snapshot_date,days_until_expiry,expiry_status,mdb_id,validator_version,feed_url,top_fix,scorecard_url
the-moccasin-express,The Moccasin Express,Washington,B,82.2,small,87,2026-07-04,120,current,2325,8.0.1,https://data.trilliumtransit.com/gtfs/moccasinexpress-wa-us/moccasinexpress-wa-us.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/the-moccasin-express/
the-otter-express,Flex v2 included,Minnesota,D,64.2,small,54,2026-07-04,28,expiring_soon,2038,8.0.1,https://data.trilliumtransit.com/gtfs/otterexpress-mn-us/otterexpress-mn-us--flex-v2.zip,Re-export with a validity window that reaches at least 60 days out.,https://gtfsscorecard.org/agency/the-otter-express/
the-rapid,The Rapid,Michigan,C,71.2,large,63,2026-07-04,57,current,400,8.0.1,http://connect.ridetherapid.org/InfoPoint/gtfs-zip.ashx,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/the-rapid/
the-santa-cruzer,The Santa Cruzer,,A,92.0,small,97,2026-07-04,65,current,,8.0.1,https://www.pinpointavl.com/santacruzer.zip,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,https://gtfsscorecard.org/agency/the-santa-cruzer/
the-victoria-clipper,The Victoria Clipper,Washington,F,58.1,small,48,2026-07-04,-3048,stale,282,8.0.1,https://addtransit.com/gtfsfile/42017/TheVictoriaClipper.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/the-victoria-clipper/
thebus,TheBus,Hawaii,F,9.5,large,0,2026-07-04,-945,stale,10,8.0.1,http://webapps.thebus.org/transitdata/Production/google_transit.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/thebus/
thebus-2350,TheBus,Hawaii,F,41.5,large,16,2026-07-04,49,current,2350,8.0.1,https://www.thebus.org/transitdata/production/google_transit.zip,Re-generate shape distances in your export; flag to your vendor if it persists.,https://gtfsscorecard.org/agency/thebus-2350/
thousand-oaks-transit,Thousand Oaks Transit,,D,68.8,medium,59,2026-07-04,344,current,,8.0.1,https://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,https://gtfsscorecard.org/agency/thousand-oaks-transit/
thousand-oaks-transit-33,Thousand Oaks Transit,California,D,68.8,medium,59,2026-07-04,344,current,33,8.0.1,http://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,https://gtfsscorecard.org/agency/thousand-oaks-transit-33/
thousand-oaks-transit-kanan-shuttle,Thousand Oaks Transit - Kanan Shuttle,,F,56.6,small,46,2026-07-04,-90,lapsed,,8.0.1,https://data.trilliumtransit.com/gtfs/kananshuttle-ca-us/kananshuttle-ca-us.zip,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",https://gtfsscorecard.org/agency/thousand-oaks-transit-kanan-shuttle/
