id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry
city-of-las-vegas-565,City of Las Vegas,2026-07-06,F,51.9,86.0,0.0,45.6,,-371
city-of-lompoc-transit-colt,City of Lompoc Transit (COLT),2026-07-06,F,45.8,78.0,0.0,37.5,,-826
city-of-long-beach-transportation,City of Long Beach Transportation,2026-07-06,D,62.2,77.5,85.0,22.5,,178
city-of-loveland,Flex,2026-07-06,D,66.0,94.0,43.3,45.0,,26
city-of-madera,City of Madera,2026-07-06,F,59.9,80.0,43.3,45.0,,26
city-of-madera-91,City of Madera,2026-07-06,F,59.9,80.0,43.3,45.0,,26
city-of-mechanicville-public-transit,City of Mechanicville Public Transit,2026-07-06,D,65.9,77.5,100.0,22.5,,81
city-of-miami-beach,City of Miami Beach,2026-07-06,C,72.0,86.0,100.0,30.0,,179
city-of-miami-gardens,City of Miami Gardens,2026-07-06,C,77.2,98.0,100.0,30.0,,179
city-of-milton-freewater-public-transportation,City of Milton-Freewater Public Transportation,2026-07-06,F,52.8,88.5,0.0,45.0,,-894
city-of-milton-freewater-public-transportation-2189,City of Milton-Freewater Public Transportation,2026-07-06,D,69.3,73.0,100.0,39.6,,178
city-of-milton-freewater-public-transportation-274,City of Milton-Freewater Public Transportation,2026-07-06,F,52.8,88.5,0.0,45.0,,-894
city-of-san-luis-obispo-transit,City of San Luis Obispo Transit,2026-07-06,B,86.4,86.0,100.0,76.2,,179
city-of-show-low,City of Show Low,2026-07-06,F,57.2,88.0,0.0,60.0,,-67
city-of-sierra-vista,City of Sierra Vista,2026-07-06,F,48.6,56.0,0.0,77.2,,-2744
city-of-tracy,City of Tracy,2026-07-06,C,72.6,98.0,100.0,15.0,,179
city-of-tracy-tracer,City of Tracy (TRACER),2026-07-06,F,14.6,1.2,0.0,45.0,,-1436
city-of-tracy-tracer-3099,City of Tracy (TRACER),2026-07-06,D,69.8,75.5,100.0,37.5,,331
city-of-tracy-tracer-877,City of Tracy (TRACER),2026-07-06,F,14.6,1.2,0.0,45.0,,-1436
city-of-winona-mn-winona-transit-service,City of Winona MN - Winona Transit Service,2026-07-06,D,61.7,91.0,0.0,70.0,,-186
citybus-of-greater-lafayette-indiana-citybus,CityBus of Greater Lafayette Indiana (CityBus),2026-07-06,C,77.9,100.0,80.0,45.2,,48
clackamas-community-college-ccc-xpress,Clackamas Community College (CCC) Xpress,2026-07-06,F,54.8,82.5,0.0,60.0,,-1405
clackco-connects-clackamas-county,ClackCo Connects (Clackamas County),2026-07-06,B,84.0,92.0,100.0,60.0,,148
clackco-connects-clackamas-county-2740,Static feed for realtime,2026-07-06,D,65.7,79.5,48.3,33.0,100.0,29
clackco-connects-clackamas-county-2741,Flex,2026-07-06,C,76.1,74.0,100.0,60.0,,148
clackco-connects-clackamas-county-312,ClackCo Connects (Clackamas County),2026-07-06,B,84.0,92.0,100.0,60.0,,148
clallam-transit-system,Clallam Transit System,2026-07-06,C,78.2,70.8,100.0,71.2,,320
clallam-transit-system-279,Clallam Transit System,2026-07-06,C,78.2,70.8,100.0,71.2,,320
clarkstown-minitrans,Clarkstown MiniTrans,2026-07-06,D,63.1,79.5,85.0,22.5,,178
clear-creek-county-transit,Clear Creek County Transit,2026-07-06,C,75.9,92.0,100.0,34.2,,147
clear-creek-county-transit-313,Clear Creek County Transit,2026-07-06,C,75.9,92.0,100.0,34.2,,147
clemson-area-transit-cat,Clemson Area Transit (CAT),2026-07-06,F,46.6,63.8,0.0,59.8,,-2397
clemson-area-transit-cat-798,Clemson Area Transit (CAT),2026-07-06,F,46.6,63.8,0.0,59.8,,-2397
clinton-county-public-transit-ccpt,Clinton County Public Transit (CCPT),2026-07-06,F,35.3,49.8,0.0,43.2,,-36
clinton-municipal-transit-administration-clinton-mta,Clinton Municipal Transit Administration (Clinton MTA),2026-07-06,B,81.1,100.0,93.3,44.9,,56
clinton-municipal-transit-administration-clinton-mta-202,Clinton Municipal Transit Administration (Clinton MTA),2026-07-06,B,81.1,100.0,93.3,44.9,,56
clovis-transit,Clovis Transit,2026-07-06,F,59.8,78.0,0.0,82.1,,-31
clovis-transit-2894,Clovis Transit,2026-07-06,C,71.0,87.5,48.3,42.8,100.0,29
clovis-transit-89,Clovis Transit,2026-07-06,F,59.8,78.0,0.0,82.1,,-31
coach-company,Coach Company,2026-07-06,F,48.5,68.0,0.0,60.0,,-1497
coach-company-436,Coach Company,2026-07-06,F,48.5,68.0,0.0,60.0,,-1497
coast-transportation,COAST Transportation,2026-07-06,F,38.5,66.5,0.0,30.0,,-156
cobb-community-transit-cct,Cobb Community Transit (CCT),2026-07-04,F,26.2,60.0,0.0,0.0,,
cobblinc,CobbLinc,2026-07-06,D,61.2,91.0,100.0,37.5,0.0,178
collier-area-transit-cat,Collier Area Transit (CAT),2026-07-06,F,30.1,42.0,0.0,37.5,,-2013
collier-area-transit-cat-2259,Collier Area Transit (CAT),2026-07-06,F,49.2,81.0,10.0,36.1,,15
colorado-mountain-express,Colorado Mountain Express,2026-07-06,C,75.4,75.2,100.0,56.0,,298
colorado-mountain-express-172,Colorado Mountain Express,2026-07-06,C,75.4,75.2,100.0,56.0,,298
colorado-school-of-mines,Colorado School Of Mines,2026-07-06,C,76.4,96.0,100.0,30.0,,147
columbia-area-transit-cat,Columbia Area Transit (CAT),2026-07-06,B,81.1,96.0,100.0,45.0,,179
columbia-county-public-transportation,Columbia County Public Transportation,2026-07-06,C,73.1,88.5,100.0,30.0,,329
columbia-county-public-transportation-3116,Columbia County Public Transportation,2026-07-06,C,77.7,99.0,100.0,30.0,,1274
columbia-county-rider,Columbia County Rider,2026-07-06,C,77.9,88.0,100.0,46.0,,118
colville-confederated-tribes-transit,Colville Confederated Tribes Transit,2026-07-06,C,79.4,81.5,100.0,60.0,,238
commerce-municipal-bus-lines,Commerce Municipal Bus Lines,2026-07-06,B,83.8,93.0,100.0,45.0,100.0,1639
community-in-motion,Community in Motion,2026-07-06,C,74.5,91.8,100.0,30.0,,148
community-transit-ct,Community Transit (CT),2026-07-06,B,82.4,85.0,88.3,60.0,99.7,53
commute-org-san-mateo-county-shuttles,Commute.org San Mateo County Shuttles,2026-07-06,B,85.5,84.0,100.0,75.9,,179
commute-org-san-mateo-county-shuttles-61,Commute.org San Mateo County Shuttles,2026-07-06,B,85.5,84.0,100.0,75.9,,179
compton-renaissance,Compton Renaissance,2026-07-06,F,32.4,42.0,0.0,44.9,,-1283
concord-area-transit,Flex,2026-07-06,F,41.1,61.8,0.0,45.0,,-5
